job_code,person_type,description
SS10,staff,Aide - Physical Education
SS12,staff,Aide - Pre-Kindergarten
SS14,staff,Aide - Special Education
SS18,staff,Custodian
SS20,staff,Dean of Students
SS24,staff,In-School Suspension Monitor
SS25,staff,Dual Enrollment Facilitator
SS27,staff,Sign Language Interpreter
SS28,staff,Licensed Practical Nurse
SS32,staff,Receptionist - High
SS36,staff,Registrar
SS38,staff,School Bookkeeper
SS40,staff,School Maintenance
SS46,staff,School Secretary - High
SS48,staff,School Secretary - Middle
SS49,staff,Secretary/Bookkeeper
SS50,staff,Sec-Bookkeeper Elementary
SS54,staff,Security Monitor
SS57,staff,TCT - Career Coach
SS60,staff,Billingual Specialist
SU08,staff,Secretary Superintendent
SU10,staff,Superintendent of Schools
TR02,staff,Bus Aide
TR03,staff,Bus Aide/LPN
TR04,staff,Bus Driver
TR06,staff,Coordinator of Transportation
TR08,staff,Director of Transportation
TR11,staff,Dispatcher/Route Specialist
TR12,staff,Mechanic - Transportation
TR13,staff,Shop Assistant
TR14,staff,Shop Foreman & Mechanic
TR16,staff,Transportation Clerk
TR18,staff,Transportation Sec/Bookkeeper
